dataset_id,data,loja,produto,categoria,preco,promocao,estoque,quantidade_vendida,temperatura_prevista,receita_final
VAREJO_05,2026-12-29,LOJA_03,PROD_04,bebidas,10.37,0,106,42,29.6,435.54
VAREJO_05,2026-01-10,LOJA_04,PROD_10,utilidades,29.24,0,96,64,30.0,1871.36
VAREJO_05,2026-07-24,LOJA_04,PROD_09,utilidades,21.6,0,94,49,19.0,1058.4
VAREJO_05,2026-01-06,LOJA_04,PROD_07, LIMPEZA ,41.04,0,116,45,30.4,1846.8
VAREJO_05,2026-04-11,LOJA_04,PROD_03,bebidas,4.97,1,160,57,22.0,283.29
VAREJO_05,2026-06-27,LOJA_04,PROD_10,utilidades,,0,97,57,16.2,
VAREJO_05,2026-03-02,LOJA_03,PROD_04,bebidas,11.46,0,163,36,28.9,412.56
VAREJO_05,2026-05-11,LOJA_01,PROD_08,limpeza,53.91,0,146,18,20.1,970.38
VAREJO_05,2026-02-13,LOJA_01,PROD_07,limpeza,42.97,0,108,24,,1031.28
VAREJO_05,2026-08-08,LOJA_03,PROD_07,limpeza,42.23,,132,45,19.1,1900.35
VAREJO_05,2026-03-04,LOJA_03,PROD_07,limpeza,36.04,1,135,54,27.4,1946.16
VAREJO_05,2026-08-20,LOJA_02,PROD_01,,11.72,0,163,40,21.6,468.8
VAREJO_05,2026-11-24,LOJA_03,PROD_02,alimentos,18.12,0,116,58,28.9,1050.96
VAREJO_05,2026-09-02,LOJA_03,PROD_01,alimentos,12.41,0,103,42,21.8,521.22
VAREJO_05,2026-07-03,LOJA_02,PROD_03,bebidas,,0,98,22,,150.48
VAREJO_05,2026-09-30,LOJA_04,PROD_07,limpeza,42.59,0,108,48,24.1,2044.32
VAREJO_05,2026-04-21,LOJA_04,PROD_02,alimentos,17.94,0,,45,24.0,807.3
VAREJO_05,2026-08-12,LOJA_02,PROD_02,alimentos,18.92,0,97,38,18.6,718.96
VAREJO_05,2026-03-06,LOJA_04,PROD_08,limpeza,46.87,1,120,54,26.8,
