dataset_id,data,loja,produto,categoria,preco,promocao,estoque,quantidade_vendida,temperatura_prevista,receita_final
VAREJO_05,2024-04-26,LOJA_02,PROD_07,limpeza,42.23,0,136,22,20.1,
VAREJO_05,2024-03-03,LOJA_04,PROD_07,limpeza,41.81,0,125,45,27.8,1881.45
VAREJO_05,2024-07-17,LOJA_01,PROD_06,higiene,30.1,1,136,47,17.0,1414.7
VAREJO_05,2024-11-27,LOJA_02,PROD_10, UTILIDADES ,30.9,0,124,44,29.9,1359.6
VAREJO_05,2024-09-26,LOJA_01,PROD_02,alimentos,15.31,1,110,57,28.3,872.67
VAREJO_05,2024-12-13,LOJA_03,PROD_02,alimentos,18.44,0,99,57,31.3,1051.08
VAREJO_05,2024-08-13,LOJA_01,PROD_06, HIGIENE ,35.87,0,130,41,14.0,1470.67
VAREJO_05,2024-11-16,LOJA_04,PROD_04,bebidas,,0,158,61,25.7,568.52
VAREJO_05,2024-06-01,LOJA_03,PROD_01,,11.51,0,102,36,14.4,414.36
VAREJO_05,2024-07-23,LOJA_01,PROD_05,higiene,,1,137,48,17.9,1166.88
VAREJO_05,2024-12-29,LOJA_02,PROD_05,higiene,28.27,0,161,47,26.9,1328.69
VAREJO_05,2024-05-25,LOJA_01,PROD_05,higiene,27.75,0,125,34,20.8,943.5
VAREJO_05,2024-03-07,LOJA_01,PROD_03,bebidas,7.21,0,171,18,27.6,129.78
VAREJO_05,2024-04-22,LOJA_02,PROD_05,higiene,29.22,0,120,25,22.0,730.5
VAREJO_05,2024-09-07,LOJA_03,PROD_03,bebidas,6.23,1,106,61,23.3,380.03
VAREJO_05,2024-12-17,LOJA_04,PROD_09,utilidades,23.01,0,131,48,30.8,1104.48
VAREJO_05,2024-08-05,LOJA_04,PROD_03,bebidas,8.25,0,147,40,19.9,330.0
VAREJO_05,2024-05-09,LOJA_03,PROD_06,higiene,35.73,0,143,38,22.6,1357.74
VAREJO_05,2024-06-08,LOJA_02,PROD_07,limpeza,-99.00,1,178,39,19.0,1448.85
VAREJO_05,2024-05-06,LOJA_01,PROD_01,alimentos,12.51,0,97,21,20.4,
VAREJO_05,2024-04-10,LOJA_03,PROD_03,bebidas,6.7,0,155,27,21.3,180.9
VAREJO_05,2024-12-25,LOJA_01,PROD_10,utilidades,25.52,1,99,57,32.0,1454.64
VAREJO_05,2024-03-25,LOJA_04,PROD_08,limpeza,54.74,0,,40,29.6,2189.6
VAREJO_05,2024-08-28,LOJA_01,PROD_02,alimentos,18.08,0,136,42,21.0,759.36
VAREJO_05,2024-05-06,LOJA_04,PROD_07,limpeza,42.23,0,105,34,22.2,1435.82
VAREJO_05,2024-02-10,LOJA_03,PROD_03,bebidas,,1,167,53,28.1,315.88
VAREJO_05,2024-03-21,LOJA_03,PROD_10,utilidades,29.94,0,179,41,29.5,1227.54
VAREJO_05,2024-09-22,LOJA_02,PROD_07,limpeza,42.8,0,175,42,,
VAREJO_05,2024-08-10,LOJA_01,PROD_05,higiene,"27,17",0,93,43,20.1,1168.31
VAREJO_05,2024-01-09,LOJA_02,PROD_04,bebidas,12.0,0,146,47,29.9,564.0
VAREJO_05,2024-06-02,LOJA_04,PROD_07,limpeza,35.84,1,151,45,19.5,1612.8
VAREJO_05,2024-02-12,LOJA_04,PROD_07,limpeza,42.0,0,124,41,26.7,1722.0
VAREJO_05,2024-01-14,LOJA_04,PROD_06,higiene,34.87,0,92,60,29.2,2092.2
VAREJO_05,2024-03-23,LOJA_01,PROD_04,bebidas,11.92,0,102,40,23.0,476.8
VAREJO_05,2024-05-23,LOJA_02,PROD_10,utilidades,30.48,0,134,39,21.2,1188.72
VAREJO_05,2024-09-10,LOJA_04,PROD_04,bebidas,11.42,0,158,55,21.1,628.1
VAREJO_05,2024-12-23,LOJA_01,PROD_02,alimentos,17.01,0,105,54,34.9,918.54
VAREJO_05,2024-01-15,LOJA_03,PROD_05,higiene,27.65,0,131,46,32.4,1271.9
VAREJO_05,2024-01-09,LOJA_01,PROD_02,alimentos,17.98,0,100,45,28.5,809.1
VAREJO_05,2024-06-17,LOJA_01,PROD_03,bebidas,7.1,0,126,19,15.9,134.9
VAREJO_05,2024-02-28,LOJA_03,PROD_04,bebidas,9.84,1,126,51,26.7,501.84
VAREJO_05,2024-06-15,LOJA_03,PROD_09,utilidades,22.04,0,,45,15.5,991.8
VAREJO_05,2024-02-11,LOJA_01,PROD_02,alimentos,17.19,0,92,35,29.0,601.65
VAREJO_05,2024-08-10,LOJA_02,PROD_03,bebidas,7.46,0,168,37,20.2,276.02
VAREJO_05,2024-11-08,LOJA_04,PROD_03,bebidas,,0,118,45,27.1,343.8
VAREJO_05,2024-03-07,LOJA_01,PROD_02,alimentos,18.67,0,98,42,24.8,784.14
VAREJO_05,2024-03-27,LOJA_02,PROD_09,utilidades,22.11,0,121,37,23.5,818.07
VAREJO_05,2024-09-21,LOJA_04,PROD_04,bebidas,9.78,1,151,71,21.1,694.38
